TEMPERATURA;15.6;2025-11-03T08:24:00
PRESION;994.5;2025-11-03T08:24:00
HUMEDAD;36.5;2025-11-03T08:24:00
HUMEDAD;55.3;2025-11-03T08:24:00
PRESION;986.2;2025-11-03T08:24:00
TEMPERATURA;18.6;2025-11-03T08:24:00
TEMPERATURA;16.0;2025-11-03T08:24:00
PRESION;995.3;2025-11-03T08:24:00
HUMEDAD;47.1;2025-11-03T08:24:00
PRESION;1040.5;2025-11-03T08:24:00
HUMEDAD;62.7;2025-11-03T08:24:00
TEMPERATURA;17.4;2025-11-03T08:24:00
PRESION;1005.3;2025-11-03T08:24:00
HUMEDAD;57.3;2025-11-03T08:24:00
TEMPERATURA;20.8;2025-11-03T08:24:00
TEMPERATURA;20.4;2025-11-03T08:24:00
TEMPERATURA;15.6;2025-11-03T08:24:00
HUMEDAD;80.0;2025-11-03T08:24:00
PRESION;1044.9;2025-11-03T08:24:00
TEMPERATURA;17.4;2025-11-03T08:24:00
PRESION;1023.0;2025-11-03T08:24:00
PRESION;1021.4;2025-11-03T08:24:00
HUMEDAD;59.1;2025-11-03T08:24:00
TEMPERATURA;15.8;2025-11-03T08:24:00
TEMPERATURA;26.4;2025-11-03T08:24:00
PRESION;1009.6;2025-11-03T08:25:00
HUMEDAD;69.6;2025-11-03T08:26:00
PRESION;1019.9;2025-11-03T08:27:00
HUMEDAD;41.9;2025-11-03T08:28:00
PRESION;994.2;2025-11-03T08:29:00
TEMPERATURA;19.7;2025-11-03T08:30:00
TEMPERATURA;18.6;2025-11-03T08:31:00
TEMPERATURA;24.6;2025-11-03T08:32:00
HUMEDAD;43.6;2025-11-03T08:33:00
PRESION;1018.7;2025-11-03T08:34:00
HUMEDAD;48.9;2025-11-03T08:35:00
HUMEDAD;71.5;2025-11-03T08:36:00
PRESION;992.3;2025-11-03T08:37:00
HUMEDAD;48.5;2025-11-03T08:38:00
TEMPERATURA;24.1;2025-11-03T08:39:00
TEMPERATURA;16.0;2025-11-03T08:40:00
TEMPERATURA;24.3;2025-11-03T08:41:00
HUMEDAD;44.2;2025-11-03T08:42:00
TEMPERATURA;29.6;2025-11-03T08:43:00
HUMEDAD;67.8;2025-11-03T08:44:00
PRESION;1049.4;2025-11-03T08:45:00
PRESION;1007.9;2025-11-03T08:46:00
PRESION;1014.8;2025-11-03T08:47:00
HUMEDAD;57.4;2025-11-03T08:48:00
TEMPERATURA;21.5;2025-11-03T08:49:00
TEMPERATURA;25.3;2025-11-03T08:50:00
TEMPERATURA;29.9;2025-11-03T08:51:00
TEMPERATURA;28.1;2025-11-03T08:52:00
PRESION;991.5;2025-11-03T08:53:00
TEMPERATURA;15.3;2025-11-03T08:54:00
PRESION;1047.0;2025-11-03T08:55:00
HUMEDAD;32.4;2025-11-03T08:56:00
HUMEDAD;40.8;2025-11-03T08:57:00
HUMEDAD;42.0;2025-11-03T08:58:00
HUMEDAD;51.1;2025-11-03T08:59:00
HUMEDAD;37.0;2025-11-03T09:00:00
TEMPERATURA;21.9;2025-11-03T09:01:00
PRESION;1012.5;2025-11-03T09:02:00
PRESION;1046.3;2025-11-03T09:03:00
PRESION;1042.1;2025-11-03T09:04:00
PRESION;1000.2;2025-11-03T09:05:00
TEMPERATURA;15.8;2025-11-03T09:06:00
TEMPERATURA;27.0;2025-11-03T09:07:00
HUMEDAD;49.9;2025-11-03T09:08:00
PRESION;1011.5;2025-11-03T09:09:00
TEMPERATURA;28.7;2025-11-03T09:10:00
HUMEDAD;52.0;2025-11-03T09:11:00
HUMEDAD;50.5;2025-11-03T09:12:00
HUMEDAD;52.3;2025-11-03T09:13:00
PRESION;1014.0;2025-11-03T09:14:00
PRESION;1031.5;2025-11-03T09:15:00
PRESION;1007.9;2025-11-03T09:16:00
HUMEDAD;75.3;2025-11-03T09:17:00
PRESION;1003.9;2025-11-03T09:18:00
TEMPERATURA;23.2;2025-11-03T09:19:00
PRESION;1017.1;2025-11-03T09:20:00
HUMEDAD;60.5;2025-11-03T09:21:00
TEMPERATURA;29.3;2025-11-03T09:22:00
TEMPERATURA;22.2;2025-11-03T09:23:00
PRESION;1040.4;2025-11-03T09:24:00
TEMPERATURA;22.4;2025-11-03T09:25:00
TEMPERATURA;29.0;2025-11-03T09:26:00
TEMPERATURA;29.5;2025-11-03T09:27:00
PRESION;1030.1;2025-11-03T09:28:00
PRESION;1043.6;2025-11-03T09:29:00
PRESION;1007.0;2025-11-03T09:30:00
HUMEDAD;65.7;2025-11-03T09:31:00
HUMEDAD;39.4;2025-11-03T09:32:00
TEMPERATURA;30.0;2025-11-03T09:33:00
TEMPERATURA;18.0;2025-11-03T09:34:00
PRESION;1043.0;2025-11-03T09:35:00
HUMEDAD;64.6;2025-11-03T09:36:00
TEMPERATURA;20.4;2025-11-03T09:37:00
PRESION;1040.6;2025-11-03T09:38:00
TEMPERATURA;17.0;2025-11-03T09:39:00
